DateTime,wind_speed,wind_direction,precipitation,pressure,temperature,humidity,visibility,cloudiness,Bjelave_PM10,Bjelave_SO2,Bjelave_NO2,Bjelave_O3,Bjelave_CO,Ilidža_PM2.5,Ilidža_PM10,Ilidža_SO2,Ilidža_NO2,Ilidža_O3,Vijećnica_PM10,Vijećnica_SO2,Vijećnica_NO2,Vijećnica_CO,Otoka_PM10,Otoka_SO2,Otoka_NO2,Otoka_O3,Ambasada_PM2.5
2018-01-01,,,0.012500000000000002,940.0041666666666,3.3166666666666664,83.5,17358.823529411766,7.117647058823529,,20.956604501475457,34.17485631030539,27.79978669208029,1.0393038275449171,,305.2130850087041,50.1403170875881,43.05137302564538,1.9069613010986992,71.04807397593622,10.650869514631188,28.66272735595703,0.9604545384645462,,40.322591615759805,76.49046947645104,2.3765495652737827,
2018-01-02,,,0.49583333333333335,936.5791666666668,3.5416666666666665,93.04166666666667,11216.666666666666,8.0,,27.324795842170715,37.90770856539408,28.720678965250652,0.764335415015618,,98.0868292649587,31.71380043029785,,4.206059274466141,33.719966451327004,17.922083059946697,33.31541687250137,0.7204166700442632,73.20833333333333,33.261191606521606,45.91885828971863,3.748420382539431,
2018-01-03,,,0.1875,937.4,3.2375000000000003,77.54166666666667,12737.5,7.1125,61.34547503789266,19.66938171019921,30.83432133992513,45.66686256726583,0.6586827809611956,,104.19920110702515,37.67116183501024,36.63050724909856,5.504096240426104,29.359445810317993,19.73874972263972,22.959166566530865,0.5283333336313566,70.91304347826087,40.27824604511261,50.35603324572245,8.791590452194214,
2018-01-04,,,0.0,935.7708333333334,1.3041666666666667,91.5,11312.5,6.233333333333333,41.24105397860209,21.401833256085713,31.298637469609577,40.484225273132324,0.8306465856730938,,65.30461208025615,19.46857899427414,27.229187607765198,13.611977914969126,48.83127021789551,11.310416559378305,31.575416564941406,0.8133333387474219,75.91666666666667,23.834154109160107,50.982253869374595,7.916381182769935,
2018-01-05,,,0.0,937.5833333333334,5.183333333333334,74.41666666666667,18941.666666666668,5.520833333333333,44.815521121025085,20.001499970753986,31.91402502854665,36.809074799219765,0.8290973740319411,,174.16391817728677,33.55545004208883,41.400266567866005,5.347968029479186,42.45748782157898,7.10041669011116,21.55249987045924,0.6720833368599415,124.76470588235294,33.684395949045815,74.7345741589864,4.557176291942596,
2018-01-06,,,0.0,941.85,8.916666666666666,69.16666666666667,18579.166666666668,2.408333333333333,47.89889192581177,11.573474049568176,25.136858105659485,49.11469582716624,0.5871146271626154,,164.07441679636636,30.00080394744873,32.95994555950165,5.687776553755005,49.42747048536936,11.412500043710073,31.101249893506367,0.9208333430190881,92.83333333333333,28.554933071136475,48.843387722969055,15.48961527645588,
2018-01-07,,,0.0,949.1666666666666,10.829166666666666,60.041666666666664,18229.166666666668,3.204166666666667,18.969599922498066,6.5272037088871,14.754807502031326,74.29071648915608,0.3145837510625521,,124.11412080128987,23.820054411888123,34.9351958433787,2.7619922685747347,18.31201172868411,5.2879166305065155,12.598333279291788,0.3970833358665307,76.04545454545455,24.27758328119914,55.261957466602325,13.58571583032608,
2018-01-08,,,0.0,952.8375,10.7875,60.25,18229.166666666668,5.733333333333333,26.673675139745075,6.8900091250737505,15.95445168018341,74.78719568252563,0.2960372474044561,,180.66237576802573,28.81734569867452,41.377566615740456,1.5011714079106848,27.660575310389202,3.104347799135291,19.23739124381024,0.31782608511655225,101.5909090909091,28.41702898343404,59.80456658204397,8.68194421629111,
2018-01-09,,,0.0,951.1750000000001,9.895833333333334,61.458333333333336,19416.666666666668,6.554166666666667,27.049625078837078,7.535992572704951,11.74727659424146,67.95866711934407,0.3100995421409607,,220.62795639038086,36.05440831184387,62.45519285935622,0.6477519532908564,26.315750042597454,2.203333335618178,14.174999962250391,0.2766666673123836,72.55555555555556,25.673287590344746,55.06630395849546,13.037256027261416,
2018-01-10,,,0.225,941.975,9.929166666666667,68.58333333333333,18750.0,6.733333333333333,16.800854245821636,17.841595937808354,23.00743814309438,66.83238299687703,0.39465883808831376,,49.38876823945479,30.095112696937893,17.607751122512248,25.777532950691555,33.523687402407326,6.9633333918948965,17.18894722587184,0.35983992204189935,24.166666666666668,23.95946043729782,30.168485353390377,28.021950570245583,
2018-01-11,,,0.17916666666666667,938.75,5.341666666666666,86.33333333333333,14125.0,8.0,25.53607513507207,30.245678981145222,20.108441750208538,52.07737954457601,0.5557918325066566,,46.28051231304804,24.264574845631916,27.611790657043457,16.16978754599889,22.33468229630414,15.14208322763443,18.35541671017806,0.3962500002235174,30.666666666666668,20.457016746203106,43.28587539990743,10.709385649017666,
2018-01-12,,,0.0,944.0124999999999,4.0375000000000005,79.56521739130434,15000.0,8.0,34.02825197966202,18.033960922904637,15.806347909181014,39.756787009861156,0.5412199134412019,,35.80572877611433,27.59950002034505,21.472073137760162,12.760805070400238,25.687745730082195,11.100416670242945,20.745833317438763,0.4995833362142245,32.916666666666664,19.47392499446869,40.278616547584534,8.584158445398012,
2018-01-13,,,0.0,945.3583333333332,3.591666666666667,71.31818181818181,17062.5,7.5249999999999995,11.17017912864685,7.101252098878224,7.293086628119151,53.48266649246216,0.3792349584400654,,38.52323313554128,15.522362351417542,18.906270901362102,15.110756794611612,14.278191645940145,2.5724999826246253,11.241666714350382,0.36124999821186066,17.875,8.091659665107727,29.637150088946026,13.688192988435427,
