DateTime,wind_speed,wind_direction,precipitation,pressure,temperature,humidity,visibility,cloudiness,Bjelave_PM10,Bjelave_SO2,Bjelave_NO2
2018-01-01,1.8768587452848917,188.6755919829624,0.0125,940.0041666666666,3.3166666666666664,83.5,17358.823529411766,7.117647058823529,51.293264508247375,20.956604501475457,34.17485631030539
2018-01-02,1.8768587452848917,188.6755919829624,0.4958333333333333,936.5791666666668,3.5416666666666665,93.04166666666669,11216.666666666666,8.0,51.293264508247375,27.324795842170715,37.90770856539408
2018-01-03,1.8768587452848917,188.6755919829624,0.1875,937.4,3.2375000000000003,77.54166666666667,12737.5,7.1125,61.34547503789266,19.66938171019921,30.83432133992513
2018-01-04,1.8768587452848917,188.6755919829624,0.0,935.7708333333334,1.3041666666666667,91.5,11312.5,6.233333333333333,41.24105397860209,21.401833256085716,31.298637469609577
2018-01-05,1.8768587452848917,188.6755919829624,0.0,937.5833333333334,5.183333333333334,74.41666666666667,18941.666666666668,5.520833333333333,44.815521121025085,20.001499970753983,31.91402502854665
2018-01-06,1.8768587452848917,188.6755919829624,0.0,941.85,8.916666666666666,69.16666666666667,18579.166666666668,2.408333333333333,47.89889192581177,11.573474049568176,25.136858105659485
2018-01-07,1.8768587452848917,188.6755919829624,0.0,949.1666666666666,10.829166666666666,60.04166666666666,18229.166666666668,3.204166666666667,18.969599922498062,6.5272037088871,14.754807502031326
2018-01-08,1.8768587452848917,188.6755919829624,0.0,952.8375,10.7875,60.25,18229.166666666668,5.733333333333333,26.673675139745075,6.890009125073751,15.95445168018341
2018-01-09,1.8768587452848917,188.6755919829624,0.0,951.175,9.895833333333334,61.458333333333336,19416.666666666668,6.554166666666667,27.04962507883708,7.535992572704951,11.74727659424146
2018-01-10,1.8768587452848917,188.6755919829624,0.225,941.975,9.929166666666667,68.58333333333333,18750.0,6.733333333333333,16.800854245821636,17.841595937808354,23.00743814309438
2018-01-11,1.8768587452848917,188.6755919829624,0.1791666666666666,938.75,5.341666666666666,86.33333333333333,14125.0,8.0,25.53607513507207,30.245678981145225,20.108441750208534
2018-01-12,1.8768587452848917,188.6755919829624,0.0,944.0125,4.0375000000000005,79.56521739130434,15000.0,8.0,34.02825197966202,18.03396092290464,15.806347909181014
2018-01-13,1.8768587452848917,188.6755919829624,0.0,945.3583333333332,3.591666666666667,71.31818181818181,17062.5,7.524999999999999,11.17017912864685,7.101252098878224,7.293086628119151
2018-01-14,1.8768587452848917,188.6755919829624,0.0708333333333333,946.3541666666666,0.9583333333333334,82.0,12900.0,7.766666666666667,28.74587082862854,8.271975403030714,13.322053382794062
2018-01-15,1.8768587452848917,188.6755919829624,0.05,946.7833333333332,0.2583333333333333,89.0,9179.166666666666,7.975,51.745445728302,32.9132000207901,25.76225419839223
2018-01-16,1.8768587452848917,188.6755919829624,0.0,937.7416666666668,5.0875,74.6086956521739,16300.0,6.5,72.38948325316112,21.416279176870983,32.612750132878624
2018-01-17,1.8768587452848917,188.6755919829624,0.6541666666666667,928.2333333333332,5.116666666666666,78.5,14475.0,5.6125,18.569446007410686,7.763974130153656,29.12541655699412
2018-01-18,1.8768587452848917,188.6755919829624,0.0,939.2125,0.6291666666666668,74.16666666666667,17645.833333333332,1.3166666666666669,36.18332493305206,30.719104131062824,40.16148769855499
2018-01-19,1.8768587452848917,188.6755919829624,0.1458333333333333,937.3166666666666,6.270833333333333,62.0,18029.166666666668,5.7,16.50118738412857,7.665738811095555,18.51263697942098
2018-01-20,1.8768587452848917,188.6755919829624,0.4083333333333334,938.6458333333334,0.025,90.25,11279.166666666666,6.283333333333334,37.33641104896864,16.86462038755417,37.02360022068024
2018-01-21,1.8768587452848917,188.6755919829624,0.3875,931.8125,2.270833333333333,79.20833333333333,12795.833333333334,7.0625,40.16691263516744,13.400516589482626,27.28674273689588
2018-01-22,1.8768587452848917,188.6755919829624,0.0,940.4875,-1.2916666666666667,66.69565217391305,15875.0,4.816666666666667,16.051509993771713,13.124454140663149,19.385007937749226
2018-01-23,1.8768587452848917,188.6755919829624,0.0916666666666666,948.5208333333334,-1.45,79.83333333333333,13475.0,7.054166666666667,59.12845826148987,81.12628757953644,47.01393709580103
2018-01-24,1.8768587452848917,188.6755919829624,0.0,955.7916666666666,1.625,72.875,19066.666666666668,4.491666666666666,60.62016208966573,34.214041550954185,26.554329415162403
2018-01-25,1.8768587452848917,188.6755919829624,0.0,952.0041666666666,1.7125,70.83333333333333,18812.5,0.875,44.84273745616277,14.555214126904806,31.050633092721306
2018-01-26,1.8768587452848917,188.6755919829624,0.0,949.5791666666668,2.4791666666666665,71.33333333333333,14729.166666666666,1.1666666666666667,77.60701715946198,16.409558409824967,53.80132587750753
2018-01-27,1.8768587452848917,188.6755919829624,0.0,955.0833333333334,2.85,68.04166666666667,17583.333333333332,2.0416666666666665,101.75894943873088,23.96618810036908,58.58047123750051
2018-01-28,1.8768587452848917,188.6755919829624,0.0,959.2791666666668,2.5375,70.33333333333333,15062.5,0.025,98.6649341583252,48.53133753935496,45.219533244768776
2018-01-29,1.8768587452848917,188.6755919829624,0.0,956.5708333333332,3.5,66.16666666666667,14145.833333333334,0.975,93.9878290494283,24.50771661599477,54.980199654897056
2018-01-30,1.8768587452848917,188.6755919829624,0.0,952.2208333333332,5.091666666666667,62.083333333333336,19416.666666666668,0.3541666666666667,64.3921418984731,20.066998047673184,39.68871267636617
2018-01-31,1.8768587452848917,188.6755919829624,0.0,947.7916666666666,5.216666666666667,62.54166666666666,18812.5,3.704166666666667,74.08985463778178,12.71617740392685,51.00312890609106
