DateTime,AQI
2018-05-22,58.0
2018-05-23,55.0
2018-05-24,47.958333333333336
2018-05-25,65.125
2018-05-26,72.75
2018-05-27,66.625
2018-05-28,56.208333333333336
2018-05-29,54.625
2018-05-30,57.91304347826087
2018-05-31,64.5
2018-06-01,75.91666666666667
2018-06-02,56.958333333333336
2018-06-03,61.708333333333336
2018-06-04,54.55555555555556
2018-06-05,43.95652173913044
2018-06-06,48.208333333333336
2018-06-07,54.5
2018-06-08,47.875
2018-06-09,43.791666666666664
2018-06-10,67.45833333333333
2018-06-11,70.125
2018-06-12,75.58333333333333
2018-06-13,48.708333333333336
2018-06-14,48.583333333333336
2018-06-15,18.083333333333332
2018-06-16,48.333333333333336
2018-06-17,68.20833333333333
2018-06-18,62.958333333333336
2018-06-19,61.375
2018-06-20,67.33333333333333
2018-06-21,70.66666666666667
2018-06-22,60.75
2018-06-23,39.375
2018-06-24,42.916666666666664
2018-06-25,47.375
2018-06-26,55.791666666666664
2018-06-27,43.916666666666664
2018-06-28,38.125
2018-06-29,61.208333333333336
2018-06-30,63.583333333333336
2018-07-01,46.5
2018-07-02,61.708333333333336
2018-07-03,68.79166666666667
2018-07-04,84.79166666666667
2018-07-05,59.095238095238095
2018-07-06,64.45833333333333
2018-07-07,47.416666666666664
2018-07-08,51.666666666666664
2018-07-09,55.416666666666664
2018-07-10,62.625
2018-07-11,52.125
2018-07-12,81.66666666666667
2018-07-13,74.45833333333333
2018-07-14,69.83333333333333
2018-07-15,66.70833333333333
2018-07-16,66.15789473684211
2018-07-17,32.041666666666664
2018-07-18,53.041666666666664
2018-07-19,62.083333333333336
2018-07-20,65.83333333333333
2018-07-21,60.25
2018-07-22,54.416666666666664
2018-07-23,61.125
2018-07-24,59.125
2018-07-25,61.083333333333336
2018-07-26,67.33333333333333
2018-07-27,59.69565217391305
2018-07-28,58.5
2018-07-29,65.70833333333333
2018-07-30,61.25
2018-07-31,70.125
2018-08-01,68.66666666666667
2018-08-02,80.70833333333333
2018-08-03,78.375
2018-08-04,75.33333333333333
2018-08-05,51.458333333333336
2018-08-06,60.333333333333336
2018-08-07,82.41666666666667
2018-08-08,78.04166666666667
2018-08-09,85.125
2018-08-10,74.79166666666667
2018-08-11,99.95833333333333
2018-08-12,95.875
2018-08-13,64.125
2018-08-14,57.833333333333336
2018-08-15,54.541666666666664
2018-08-16,59.75
2018-08-17,59.0
2018-08-18,70.5
2018-08-19,79.75
2018-08-20,64.70833333333333
2018-08-21,72.08333333333333
2018-08-22,73.20833333333333
2018-08-23,57.0
2018-08-24,49.291666666666664
2018-08-25,53.333333333333336
2018-08-26,43.75
2018-08-27,27.5
2018-08-28,59.291666666666664
2018-08-29,79.125
2018-08-30,70.16666666666667
2018-08-31,82.78260869565217
2018-09-01,76.125
2018-09-02,64.70833333333333
2018-09-03,59.083333333333336
2018-09-04,38.291666666666664
2018-09-05,37.375
2018-09-06,62.666666666666664
2018-09-07,63.833333333333336
2018-09-08,56.541666666666664
2018-09-09,66.83333333333333
2018-09-10,61.541666666666664
2018-09-11,56.791666666666664
2018-09-12,62.333333333333336
2018-09-13,70.25
2018-09-14,55.0
2018-09-15,73.66666666666667
2018-09-16,61.208333333333336
2018-09-17,49.375
2018-09-18,53.791666666666664
2018-09-19,59.291666666666664
2018-09-20,71.79166666666667
2018-09-21,82.875
2018-09-22,80.08333333333333
2018-09-23,66.33333333333333
2018-09-24,49.75
2018-09-25,39.791666666666664
2018-09-26,30.625
2018-09-27,68.25
2018-09-28,75.95833333333333
2018-09-29,79.5
2018-09-30,39.583333333333336
2018-10-01,66.0
2018-10-02,66.08333333333333
2018-10-03,81.16666666666667
2018-10-04,68.08333333333333
2018-10-05,104.82352941176471
2018-10-06,115.625
2018-10-07,49.125
2018-10-08,68.41666666666667
2018-10-09,78.75
2018-10-10,73.70833333333333
2018-10-11,85.45833333333333
2018-10-12,99.875
2018-10-13,100.16666666666667
2018-10-14,104.79166666666667
2018-10-15,103.45833333333333
2018-10-16,103.875
2018-10-17,106.04166666666667
2018-10-18,111.875
2018-10-19,149.95833333333334
2018-10-20,123.33333333333333
2018-10-21,102.33333333333333
2018-10-22,82.45
2018-10-23,110.5
2018-10-24,151.5
2018-10-25,47.75
2018-10-26,106.625
2018-10-27,74.5
2018-10-28,24.08
2018-10-29,31.73913043478261
2018-10-30,46.666666666666664
2018-10-31,79.04347826086956
2018-11-01,93.04166666666667
2018-11-02,84.08333333333333
2018-11-03,87.54166666666667
2018-11-04,129.75
2018-11-05,167.21052631578948
2018-11-06,113.66666666666667
2018-11-07,122.66666666666667
2018-11-08,106.56521739130434
2018-11-09,138.7826086956522
2018-11-10,141.79166666666666
2018-11-11,118.95833333333333
2018-11-12,130.83333333333334
2018-11-13,151.29166666666666
2018-11-14,136.33333333333334
2018-11-15,112.29166666666667
2018-11-16,74.08333333333333
2018-11-17,45.041666666666664
2018-11-18,74.54166666666667
2018-11-19,101.29166666666667
2018-11-20,141.16666666666666
2018-11-21,152.29166666666666
2018-11-22,155.79166666666666
2018-11-23,99.45833333333333
2018-11-24,158.83333333333334
2018-11-25,182.70833333333334
2018-11-26,97.33333333333333
2018-11-27,96.91666666666667
2018-11-28,63.625
2018-11-29,69.0
2018-11-30,75.52380952380952
2018-12-01,206.70833333333334
2018-12-02,292.25
2018-12-03,310.4166666666667
2018-12-04,313.1666666666667
2018-12-05,110.95833333333333
2018-12-06,154.5
2018-12-07,226.04166666666666
2018-12-08,245.58333333333334
2018-12-09,122.375
2018-12-10,123.04166666666667
